category,age,country,countryOfCitizenship,selfMade,gender,finalWorth
d,d,d,d,d,d,d
,,,,,,c
Fashion & Retail,2,France,France,False,M,3
Automotive,1,United States,United States,True,M,3
Technology,2,United States,United States,True,M,3
Technology,3,United States,United States,True,M,3
Finance & Investments,3,United States,United States,True,M,3
Technology,2,United States,United States,True,M,3
Media & Entertainment,3,United States,United States,True,M,3
Telecom,3,Mexico,Mexico,True,M,3
Diversified,2,India,India,False,M,3
Technology,2,United States,United States,True,M,3
Fashion & Retail,2,France,France,False,F,3
Technology,1,United States,United States,True,M,3
Fashion & Retail,3,Spain,Spain,True,M,3
Technology,1,United States,United States,True,M,3
Food & Beverage,2,China,China,True,M,3
Technology,1,United States,United States,True,M,3
Diversified,3,United States,United States,False,M,3
Diversified,2,United States,United States,False,F,3
Fashion & Retail,2,United States,United States,False,M,3
Fashion & Retail,3,United States,United States,False,M,3
Fashion & Retail,2,United States,United States,False,F,3
Media & Entertainment,2,Canada,Canada,False,M,3
Technology,2,United States,United States,True,M,3
Diversified,2,India,India,True,M,3
Fashion & Retail,3,United States,United States,True,M,3
Technology,1,China,China,True,M,3
Fashion & Retail,3,Germany,Germany,False,M,3
Fashion & Retail,3,France,France,True,M,3
Logistics,3,Switzerland,Germany,False,M,3
Food & Beverage,2,Belgium,Italy,False,M,3
Food & Beverage,3,United States,United States,False,F,3
Food & Beverage,3,United States,United States,False,M,3
Diversified,3,Hong Kong,Hong Kong,True,M,3
Technology,1,China,China,True,M,3
Gambling & Casinos,3,United States,United States,False,F,3
Finance & Investments,1,United States,United States,True,M,3
Food & Beverage,1,Austria,Austria,False,M,3
Automotive,1,China,Hong Kong,True,M,3
Fashion & Retail,2,Japan,Japan,True,M,3
Diversified,2,United Kingdom,United States,True,M,3
Fashion & Retail,2,United States,France,False,M,3
Fashion & Retail,2,United States,France,False,M,3
Logistics,3,Switzerland,Switzerland,True,M,3
Logistics,3,Switzerland,Switzerland,True,F,3
Technology,1,China,China,True,M,3
Manufacturing,3,Germany,Germany,True,M,3
Real Estate,3,Hong Kong,Hong Kong,True,M,3
Finance & Investments,2,United States,United States,True,M,3
Finance & Investments,3,United States,United States,True,M,3
Finance & Investments,3,United States,United States,True,M,3
Automotive,2,Germany,Germany,False,F,3
Metals & Mining,2,Australia,Australia,False,F,3
Technology,1,China,China,True,M,3
Metals & Mining,2,Mexico,Mexico,False,M,3
Technology,3,India,India,True,M,3
Energy,2,Indonesia,Indonesia,True,M,3
Finance & Investments,3,United States,United States,True,M,3
Metals & Mining,1,United Arab Emirates,Russia,True,M,3
Automotive,2,Germany,Germany,False,M,3
Technology,1,United States,United States,False,F,3
Finance & Investments,3,Indonesia,Indonesia,False,M,3
Metals & Mining,2,Russia,Russia,True,M,3
Technology,2,China,China,True,M,3
Manufacturing,3,China,China,True,M,3
Metals & Mining,3,Chile,Chile,False,F,3
Manufacturing,3,Indonesia,Indonesia,False,M,3
Manufacturing,2,United Kingdom,United Kingdom,True,M,3
Healthcare,3,India,India,False,M,3
Telecom,2,Japan,Japan,True,M,3
Metals & Mining,2,Russia,Russia,True,M,3
Food & Beverage,1,France,France,False,M,3
Finance & Investments,2,United States,United States,False,F,3
Energy,2,Russia,Russia,True,M,3
Fashion & Retail,1,United States,United States,False,M,3
Service,1,China,China,True,M,3
Technology,2,United States,United States,True,M,3
Fashion & Retail,3,United States,United States,False,M,3
Manufacturing,3,Japan,Japan,True,M,3
Metals & Mining,2,Russia,Russia,True,M,3
Energy,2,Russia,Russia,True,M,3
Healthcare,3,United States,United States,True,M,3
Metals & Mining,2,Australia,Australia,True,M,3
Finance & Investments,2,United States,United States,True,M,3
Automotive,2,China,China,True,M,3
Metals & Mining,1,China,China,True,M,3
Diversified,2,Monaco,Israel,False,M,3
Food & Beverage,2,China,China,True,M,3
Automotive,2,China,China,True,M,3
Energy,3,United States,United States,True,M,3
Finance & Investments,2,United States,United States,True,M,3
Energy,2,Russia,Russia,True,M,3
Finance & Investments,2,United States,United States,True,M,3
Metals & Mining,2,United Kingdom,India,False,M,3
Finance & Investments,2,United States,United States,True,M,3
Finance & Investments,3,United States,United States,True,M,3
Metals & Mining,2,India,India,False,F,3
Real Estate,3,United States,United States,True,M,3
Fashion & Retail,3,United States,United States,True,M,3
Media & Entertainment,3,United States,United States,False,M,3
Finance & Investments,2,Switzerland,Brazil,False,F,3
Fashion & Retail,2,Germany,Germany,False,M,3
Finance & Investments,1,Czech Republic,Czech Republic,False,F,3
Healthcare,2,China,Singapore,True,M,3
Fashion & Retail,3,Sweden,Sweden,False,M,3
Technology,2,United States,United States,True,M,3
Finance & Investments,1,Switzerland,United Kingdom,True,M,3
Food & Beverage,2,China,China,True,M,3
Fashion & Retail,1,Germany,Germany,False,M,3
Fashion & Retail,1,,Germany,False,F,3
Food & Beverage,3,Switzerland,Brazil,True,M,3
Real Estate,3,Hong Kong,Hong Kong,False,M,3
