wage;exper;union;goodhlth;black;female;married;service;education;looks
4;30;0;1;0;1;1;1;15;4
4;30;0;1;0;1;1;0;12;3
8;40;0;1;0;1;0;0;9;4
12;40;0;1;0;0;1;1;15;3
12;30;0;1;0;0;1;0;15;3
4;20;0;0;0;1;1;0;12;3
8;10;0;1;0;0;1;0;15;3
8;10;1;1;0;0;0;0;15;4
4;10;0;1;0;1;0;0;15;3
4;10;0;1;0;1;0;0;12;3
4;0;0;1;0;1;0;0;12;4
4;10;0;1;0;0;1;0;15;4
4;20;0;1;0;0;1;1;18;2
4;10;0;1;0;0;0;1;15;3
8;10;0;1;0;0;1;0;15;4
8;20;0;1;0;0;1;0;15;4
4;10;0;1;0;0;1;0;18;3
12;10;0;1;0;0;1;1;18;4
12;10;0;1;0;1;0;0;18;4
8;10;0;1;0;1;1;1;15;3
8;10;1;1;0;0;0;0;18;4
8;20;0;1;0;0;1;1;15;3
8;30;0;1;0;0;1;1;12;3
16;30;0;1;0;0;1;0;12;3
12;10;0;1;0;0;1;0;12;4
16;20;0;1;0;0;1;1;18;4
16;30;0;1;0;0;0;1;12;5
20;20;0;1;0;0;0;0;18;5
8;40;0;0;0;0;1;1;15;1
8;40;0;0;0;0;1;0;15;3
4;10;0;1;0;0;1;0;15;3
4;40;0;0;0;0;1;0;9;3
8;40;0;1;0;0;1;0;9;4
8;20;0;1;0;0;1;0;15;2
12;30;0;1;0;0;1;0;12;4
8;40;0;1;0;0;1;0;12;2
4;20;0;1;1;0;1;0;15;4
8;10;1;1;0;0;1;0;12;2
12;30;0;1;0;0;1;0;15;3
4;20;0;1;0;0;1;1;12;3
12;10;1;1;0;0;0;0;18;3
12;40;0;1;0;0;1;0;15;3
16;10;0;1;0;0;1;0;15;4
12;30;0;1;0;0;1;0;15;3
4;20;0;1;1;1;0;1;15;3
8;10;0;1;0;0;1;0;18;3
12;0;0;1;0;0;1;0;18;3
16;10;0;1;0;0;1;0;18;3
8;10;0;1;0;0;1;1;18;3
8;30;0;1;0;0;1;1;18;3
8;20;1;1;0;1;1;1;18;4
8;10;0;1;0;1;0;1;18;4
20;30;0;1;0;0;1;1;18;3
8;30;1;1;0;0;1;0;18;3
8;20;0;1;0;0;1;0;12;4
4;20;0;1;0;0;1;1;6;3
12;10;0;1;0;0;1;0;15;4
8;20;0;1;0;0;1;0;12;2
12;20;0;1;0;0;1;0;12;3
12;20;0;1;0;0;1;0;15;3
16;30;0;1;0;0;1;0;18;3
4;20;0;1;0;1;1;1;12;4
8;20;0;1;0;0;1;0;18;3
20;40;0;1;0;0;1;0;18;3
4;10;0;1;0;1;0;1;18;4
8;20;0;1;0;1;0;1;18;2
16;10;0;1;0;0;1;1;18;4
8;40;0;1;0;0;0;1;18;4
28;10;0;1;0;0;1;1;18;3
32;30;0;1;0;0;1;1;15;4
8;20;0;1;0;0;1;0;15;3
8;20;0;1;0;1;1;0;15;3
20;10;0;1;0;0;1;1;18;3
16;20;0;1;0;0;1;1;18;4
4;10;0;1;0;0;1;1;18;2
20;40;0;1;0;0;1;1;18;2
24;20;0;1;0;0;1;1;18;5
4;10;0;1;0;0;1;1;18;4
8;20;0;1;0;0;1;0;18;2
4;10;0;1;0;1;0;1;12;2
4;10;0;1;0;0;1;1;18;3
8;30;1;1;0;1;0;1;18;3
8;20;1;1;0;1;1;1;15;3
8;30;1;1;0;1;0;0;18;4
8;10;0;1;0;1;0;1;18;4
12;40;0;1;1;1;0;1;9;3
0;30;0;0;0;1;0;1;9;3
8;10;0;1;0;1;1;1;18;4
4;10;0;1;0;1;0;1;15;4
8;10;0;1;0;1;1;0;15;3
4;30;1;1;0;0;1;1;12;3
8;10;0;1;0;1;1;1;15;3
8;20;0;1;0;0;0;1;18;2
4;10;0;1;0;0;0;0;15;3
8;30;0;1;0;1;1;1;12;2
8;10;0;1;0;1;0;1;18;3
4;10;0;1;0;1;1;1;15;2
8;30;0;1;0;0;1;0;15;3
4;40;0;1;0;0;1;1;15;2
4;30;0;1;0;0;1;1;18;3
4;20;0;1;0;0;1;1;15;4
4;30;0;1;0;0;1;1;18;4
4;10;0;1;0;0;1;1;18;4
4;30;0;1;0;0;1;1;18;3
4;30;0;1;0;0;1;1;18;3
8;20;0;1;0;0;1;1;18;3
12;20;0;1;0;0;1;0;15;3
8;0;0;1;0;0;1;0;18;4
8;40;0;1;0;1;0;1;18;3
4;0;0;1;0;1;0;1;15;3
4;40;0;1;1;1;0;1;12;3
4;10;0;1;0;1;0;1;18;4
8;10;0;1;0;1;1;0;12;5
4;10;0;1;0;1;0;1;12;3
4;10;0;1;0;1;1;1;18;3
4;10;1;1;0;1;0;1;15;4
4;10;0;1;0;0;1;1;15;3
8;20;0;1;0;1;1;1;15;3
4;20;0;1;0;1;0;1;18;2
4;30;0;1;0;0;1;0;12;3
4;20;0;1;0;0;1;1;18;4
12;10;0;1;0;0;1;1;18;4
20;30;1;1;0;0;1;1;18;3
8;10;0;1;0;1;0;1;18;3
4;20;0;1;0;1;0;1;18;4
8;30;0;1;0;1;0;1;18;3
8;20;1;1;0;0;1;1;18;4
0;10;1;1;0;1;1;1;18;2
4;10;0;1;0;0;0;1;18;3
4;20;0;1;0;0;0;1;18;4
4;20;0;1;0;0;1;1;18;3
8;40;0;1;0;1;0;1;18;4
8;10;1;1;0;1;1;1;18;3
8;20;1;1;0;1;1;1;15;3
8;20;1;1;0;1;0;1;18;2
8;20;1;1;0;1;1;1;18;2
4;10;1;1;0;1;1;1;15;3
4;10;0;1;0;1;1;1;15;4
12;20;1;1;0;0;1;1;18;4
8;20;1;1;0;0;0;1;18;3
8;20;1;1;0;1;1;1;18;3
8;20;0;1;0;0;1;1;15;3
4;10;1;1;0;1;0;1;18;3
4;10;0;1;0;1;1;1;15;4
4;10;1;1;0;1;1;1;15;2
