Gender,Customer Type,age,Type of Travel,Class,distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,departure delay,arrival delay,satisfaction
discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,
,,,,,,,,,,,,,,,,,,,,,,c
Male,Loyal Customer,10,Personal Travel,Eco Plus,500,3,4,3,1,5,3,5,5,4,3,4,4,5,5,25,20,neutral or dissatisfied
Male,disloyal Customer,30,Business travel,Business,0,3,2,3,3,1,3,1,1,1,5,3,1,4,1,0,5,neutral or dissatisfied
Female,Loyal Customer,30,Business travel,Business,1000,2,2,2,2,5,5,5,5,4,3,4,4,4,5,0,0,satisfied
Female,Loyal Customer,30,Business travel,Business,500,2,5,5,5,2,2,2,2,2,5,3,1,4,2,10,10,neutral or dissatisfied
Male,Loyal Customer,60,Business travel,Business,0,3,3,3,3,4,5,5,3,3,4,4,3,3,3,0,0,satisfied
Female,Loyal Customer,30,Personal Travel,Eco,1000,3,4,2,1,1,2,1,1,3,4,4,4,4,1,0,0,neutral or dissatisfied
Male,Loyal Customer,50,Personal Travel,Eco,1500,2,4,2,3,2,2,2,2,3,3,4,3,5,2,10,25,neutral or dissatisfied
Female,Loyal Customer,50,Business travel,Business,2000,4,3,4,4,5,5,5,5,5,5,5,4,5,4,5,0,satisfied
Female,Loyal Customer,40,Business travel,Business,1000,1,2,2,2,4,3,3,1,1,2,1,4,1,2,0,0,neutral or dissatisfied
Male,disloyal Customer,20,Business travel,Eco,1000,3,3,3,4,2,3,3,2,2,3,4,4,3,2,0,0,neutral or dissatisfied
Female,disloyal Customer,20,Business travel,Eco,1000,4,5,5,4,2,5,2,2,3,3,5,3,5,2,0,0,neutral or dissatisfied
Female,Loyal Customer,10,Personal Travel,Eco Plus,500,2,4,2,2,1,2,1,1,1,2,5,5,5,1,0,0,neutral or dissatisfied
Male,Loyal Customer,50,Business travel,Eco,1000,1,4,4,4,1,1,1,1,1,1,3,4,4,1,30,10,neutral or dissatisfied
Male,Loyal Customer,30,Personal Travel,Eco,1000,4,2,4,3,4,4,4,4,4,5,2,2,2,4,0,0,satisfied
Female,Loyal Customer,30,Personal Travel,Eco,500,3,2,3,2,2,3,2,2,4,3,2,2,1,2,45,35,neutral or dissatisfied
Male,disloyal Customer,10,Business travel,Eco,500,2,1,2,3,4,2,1,4,2,1,4,1,3,4,0,0,neutral or dissatisfied
Female,Loyal Customer,30,Business travel,Business,2000,3,3,3,3,4,4,4,4,5,3,4,5,4,4,50,50,satisfied
Male,Loyal Customer,40,Business travel,Business,2000,4,4,2,4,4,4,4,5,5,5,5,3,5,5,0,10,satisfied
Female,Loyal Customer,50,Business travel,Business,2500,4,4,4,4,3,4,5,5,5,5,5,3,5,4,5,5,satisfied
Male,Loyal Customer,40,Personal Travel,Eco,500,2,3,3,2,5,3,5,5,1,2,4,3,2,5,15,20,neutral or dissatisfied
Male,Loyal Customer,10,Business travel,Eco,1000,2,4,2,4,2,2,1,2,1,5,3,4,3,2,0,5,neutral or dissatisfied
Female,Loyal Customer,20,Personal Travel,Eco,0,3,1,3,3,5,3,5,5,2,5,3,3,4,5,0,0,neutral or dissatisfied
Female,Loyal Customer,40,Personal Travel,Eco,1000,3,5,3,5,5,4,5,3,3,3,5,3,3,4,50,30,neutral or dissatisfied
Female,Loyal Customer,60,Personal Travel,Eco,2000,4,5,4,5,4,3,4,4,4,4,4,2,4,2,0,0,neutral or dissatisfied
Female,disloyal Customer,20,Business travel,Eco,500,5,0,5,1,1,5,1,1,4,5,5,3,5,1,55,45,satisfied
Male,Loyal Customer,60,Personal Travel,Eco,500,4,4,4,1,5,4,5,5,3,2,4,4,5,5,25,30,neutral or dissatisfied
Female,Loyal Customer,30,Business travel,Business,1500,1,1,1,1,1,5,3,4,4,4,3,5,4,2,0,0,satisfied
Female,Loyal Customer,50,Business travel,Eco Plus,500,4,4,4,4,2,2,1,4,4,4,4,2,4,2,0,10,satisfied
Female,Loyal Customer,40,Business travel,Business,3500,3,1,1,1,1,2,1,3,3,3,3,2,3,2,20,10,neutral or dissatisfied
Male,Loyal Customer,20,Personal Travel,Eco,2500,3,2,3,3,3,3,1,3,2,4,3,4,2,3,20,0,neutral or dissatisfied
Female,Loyal Customer,30,Business travel,Business,1000,4,4,4,4,5,5,5,5,5,4,3,1,5,5,0,0,satisfied
Female,disloyal Customer,20,Business travel,Eco,1000,2,2,2,3,5,2,5,5,3,1,4,2,4,5,5,0,neutral or dissatisfied
Female,Loyal Customer,40,Business travel,Business,2500,4,5,4,4,4,4,4,3,3,4,5,4,3,4,110,120,satisfied
Female,Loyal Customer,70,Personal Travel,Eco,1000,4,5,4,1,2,4,5,5,5,4,3,5,5,5,20,25,neutral or dissatisfied
Male,disloyal Customer,40,Business travel,Business,1000,3,3,3,4,1,3,1,1,4,1,3,1,4,1,10,0,neutral or dissatisfied
Female,Loyal Customer,40,Business travel,Eco,500,1,4,4,4,1,1,1,1,3,5,3,3,3,1,0,0,neutral or dissatisfied
Female,disloyal Customer,30,Business travel,Business,1000,3,4,4,3,5,4,2,5,5,4,5,4,5,5,0,0,neutral or dissatisfied
Male,Loyal Customer,40,Personal Travel,Eco Plus,500,4,3,4,2,2,4,2,2,5,1,4,3,4,2,25,20,neutral or dissatisfied
Female,Loyal Customer,50,Personal Travel,Eco,500,4,4,4,3,2,4,5,4,4,4,4,4,4,4,25,30,satisfied
Male,disloyal Customer,40,Business travel,Business,500,1,1,1,2,1,1,1,1,3,3,4,4,4,1,0,0,neutral or dissatisfied
Male,Loyal Customer,40,Business travel,Business,1500,4,4,4,4,3,5,5,4,4,4,4,4,4,3,0,0,satisfied
Female,disloyal Customer,30,Business travel,Business,1500,3,5,3,4,3,3,3,3,4,4,5,5,5,3,10,25,neutral or dissatisfied
Male,Loyal Customer,40,Business travel,Business,500,0,0,0,3,2,5,3,4,4,4,4,4,4,3,0,0,satisfied
Female,Loyal Customer,40,Business travel,Business,3000,3,3,3,3,2,1,4,5,5,5,5,2,5,4,0,0,satisfied
Female,Loyal Customer,50,Business travel,Business,500,1,1,1,1,3,5,5,3,3,3,3,4,3,5,0,15,satisfied
Male,Loyal Customer,30,Business travel,Business,500,1,1,1,1,5,5,5,5,4,2,5,5,4,5,5,0,satisfied
Female,Loyal Customer,20,Personal Travel,Business,500,2,4,2,1,4,2,4,4,4,5,4,4,5,4,0,0,neutral or dissatisfied
Female,Loyal Customer,10,Business travel,Business,1500,1,1,1,1,1,1,1,1,3,5,3,1,4,1,0,0,neutral or dissatisfied
Male,Loyal Customer,50,Business travel,Business,500,3,3,3,3,5,2,3,5,5,5,5,4,5,3,10,0,satisfied
Male,Loyal Customer,20,Personal Travel,Eco,1500,2,2,2,3,5,2,5,5,2,3,3,1,3,5,0,0,neutral or dissatisfied
Male,Loyal Customer,30,Business travel,Eco,500,2,1,1,1,2,2,2,2,3,3,2,3,3,2,15,10,neutral or dissatisfied
Male,Loyal Customer,30,Business travel,Business,2000,3,3,3,3,4,4,4,4,3,4,4,4,5,4,0,0,satisfied
Female,Loyal Customer,70,Business travel,Eco,500,5,5,5,5,1,2,3,5,5,5,5,4,5,2,0,0,satisfied
Male,Loyal Customer,40,Personal Travel,Eco,1000,2,3,2,4,4,2,4,4,4,4,3,4,1,4,0,0,neutral or dissatisfied
Female,Loyal Customer,60,Personal Travel,Eco,1000,2,2,2,3,1,3,4,4,4,2,4,4,4,4,10,10,neutral or dissatisfied
Female,Loyal Customer,50,Business travel,Business,3500,2,4,2,2,4,5,5,4,4,4,4,3,4,5,50,50,satisfied
Female,Loyal Customer,60,Business travel,Business,2500,0,0,0,1,3,4,5,5,5,5,5,4,5,5,0,5,satisfied
Male,Loyal Customer,40,Business travel,Business,500,5,5,5,5,2,5,5,5,5,5,5,3,5,4,0,0,satisfied
Female,disloyal Customer,40,Business travel,Business,500,3,3,3,3,4,3,4,4,1,1,4,2,3,4,40,25,neutral or dissatisfied
Male,disloyal Customer,20,Business travel,Eco,500,2,4,2,1,4,2,4,4,4,2,4,5,5,4,5,0,neutral or dissatisfied
Male,disloyal Customer,40,Business travel,Business,0,2,2,2,3,3,2,3,3,2,1,4,2,4,3,0,0,neutral or dissatisfied
Female,Loyal Customer,50,Business travel,Business,3500,2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0,satisfied
Male,disloyal Customer,30,Business travel,Eco,500,2,1,2,2,4,2,3,4,4,4,3,2,2,4,15,0,neutral or dissatisfied
Female,Loyal Customer,50,Business travel,Business,2500,3,3,3,3,5,4,4,5,5,5,5,4,5,4,0,0,satisfied
Female,Loyal Customer,60,Business travel,Business,2000,5,5,5,5,2,4,4,4,4,4,4,3,4,4,30,15,satisfied
Male,Loyal Customer,30,Business travel,Business,1500,3,3,3,3,4,5,4,4,5,4,4,4,4,4,5,0,satisfied
Male,Loyal Customer,40,Personal Travel,Eco,0,2,4,2,3,4,2,4,4,3,2,4,4,5,4,0,0,neutral or dissatisfied
Male,Loyal Customer,50,Business travel,Business,1500,2,2,2,2,2,4,5,5,5,5,5,5,5,4,0,0,satisfied
Male,Loyal Customer,50,Business travel,Eco,500,2,1,1,1,2,2,2,2,3,2,2,2,3,2,20,10,neutral or dissatisfied
Female,Loyal Customer,40,Business travel,Eco Plus,0,4,4,4,4,4,4,4,4,3,3,1,1,4,4,0,0,satisfied
Female,Loyal Customer,50,Business travel,Business,1500,4,4,4,4,3,4,5,5,5,5,5,4,5,5,0,0,satisfied
